Date : 2026-01-02 03:42:45
Directory : d:\Code\Hometown\vue-hometown-mjc
Total : 53 files,  12156 codes, 179 comments, 1451 blanks, all 13786 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Code\Hometown\vue-hometown-mjc\src\components\icons\IconEcosystem.vue     | Vue        |          7 |          0 |          1 |          8 |
| d:\Code\Hometown\vue-hometown-mjc\src\components\icons\IconSupport.vue       | Vue        |          7 |          0 |          1 |          8 |
| d:\Code\Hometown\vue-hometown-mjc\src\components\icons\IconTooling.vue       | Vue        |         18 |          1 |          1 |         20 |
| d:\Code\Hometown\vue-hometown-mjc\src\main.js                                | JavaScript |         15 |          1 |          6 |         22 |
| d:\Code\Hometown\vue-hometown-mjc\src\router\index.js                        | JavaScript |        172 |         10 |         10 |        192 |
| d:\Code\Hometown\vue-hometown-mjc\src\utils\auth.js                          | JavaScript |         35 |         10 |          9 |         54 |
| d:\Code\Hometown\vue-hometown-mjc\src\utils\request.js                       | JavaScript |         47 |         13 |         11 |         71 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\adminList\index.vue              | Vue        |        397 |          0 |         53 |        450 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\admin\index.vue                  | Vue        |        396 |          0 |         41 |        437 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\article\list.vue                 | Vue        |        242 |          0 |         33 |        275 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\article\publish.vue              | Vue        |        249 |          0 |         30 |        279 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\attraction\index.vue             | Vue        |        614 |         14 |         87 |        715 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\culture\index.vue                | Vue        |        584 |          9 |         79 |        672 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\devlog\index.vue                 | Vue        |        428 |          0 |         48 |        476 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\doc\index.vue                    | Vue        |        455 |          0 |         86 |        541 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\index\index.vue                  | Vue        |         24 |          3 |          4 |         31 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\layout\index.vue                 | Vue        |        394 |          0 |         43 |        437 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\log\index.vue                    | Vue        |        415 |          0 |         49 |        464 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\login\index.vue                  | Vue        |        391 |          0 |         33 |        424 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\map\index.vue                    | Vue        |        197 |          0 |         30 |        227 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\monitor\index.vue                | Vue        |        173 |          0 |         10 |        183 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\region\index.vue                 | Vue        |        331 |          0 |         42 |        373 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\reportUser\index.vue             | Vue        |        479 |          0 |         47 |        526 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\report\index.vue                 | Vue        |        249 |          0 |         20 |        269 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\school\index.vue                 | Vue        |        519 |          0 |         56 |        575 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\specialties\index.vue            | Vue        |        506 |          1 |         83 |        590 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\user\index.vue                   | Vue        |        255 |          0 |         31 |        286 |
| d:\Code\Hometown\vue-hometown-mjc\src\views\website\index.vue                | Vue        |        420 |          0 |         54 |        474 |
| d:\Code\Hometown\vue-hometown-mjc\vite.config.js                             | JavaScript |         21 |          1 |          3 |         25 |
| Total                                                                        |            |     12,156 |        179 |      1,451 |     13,786 |
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
